Category,Car Name,Features,Price Per Day (INR),Number of Seats,Air Conditioning,Safety Rating,Fuel Type
Hatchback,Hyundai Santro,"Blind Spot Monitor, All-Wheel Drive, Leather Seats, Lane Departure Warning",1593,5,No,4.1,Electric
Vintage,Ford Model T,"Lane Departure Warning, GPS Navigation, Automatic Transmission, Air Conditioning",13278,4,No,4.0,Hybrid
Vintage,Chevrolet Bel Air,"Heated Seats, Manual Transmission, GPS Navigation",7249,4,Yes,3.7,Petrol
Electric,Hyundai Kona Electric,"Cruise Control, Air Conditioning, Electric Engine, Manual Transmission, Parking Sensors",3923,6,No,4.4,Electric
SUV,Jeep Compass,"Automatic Transmission, Lane Departure Warning, All-Wheel Drive",5397,5,Yes,3.3,Petrol
Vintage,Rolls Royce Silver Ghost,"Manual Transmission, Automatic Transmission, Air Conditioning",8447,7,Yes,4.2,Electric
Vintage,Plymouth Road Runner,"Manual Transmission, Hybrid Engine, Air Conditioning, All-Wheel Drive, Automatic Transmission, Lane Departure Warning",11025,5,Yes,3.3,Hybrid
Off-Road,Suzuki Jimny,"Electric Engine, Sunroof, Hybrid Engine, Cruise Control",4504,4,No,4.0,Hybrid
Hatchback,Hyundai Santro,"Parking Sensors, GPS Navigation, Air Conditioning",2703,6,Yes,4.3,Electric
Luxury,Lexus LS,"Parking Sensors, Automatic Transmission, GPS Navigation, Heated Seats, Hybrid Engine, Blind Spot Monitor",7116,7,No,3.9,Diesel
Vintage,Plymouth Road Runner,"Bluetooth, Cruise Control, Air Conditioning, Sunroof, Backup Camera",14457,6,Yes,4.0,Diesel
Hatchback,Maruti Suzuki Swift,"All-Wheel Drive, GPS Navigation, Lane Departure Warning",2662,4,Yes,4.3,Diesel
Vintage,Rolls Royce Silver Ghost,"Parking Sensors, Hybrid Engine, Manual Transmission, Leather Seats, GPS Navigation, Blind Spot Monitor",6882,5,No,3.9,Diesel
SUV,Mahindra XUV700,"Air Conditioning, All-Wheel Drive, Electric Engine, Bluetooth, Parking Sensors, Hybrid Engine",5085,6,Yes,4.1,Electric
Electric,Hyundai Kona Electric,"All-Wheel Drive, Air Conditioning, Sunroof, Lane Departure Warning",3579,4,Yes,3.7,Electric
Hatchback,Hyundai Santro,"GPS Navigation, Bluetooth, Cruise Control, Lane Departure Warning, Hybrid Engine",1426,5,No,4.4,Petrol
Luxury,Mercedes-Benz S-Class,"Blind Spot Monitor, Heated Seats, Hybrid Engine, All-Wheel Drive, Electric Engine",11554,7,Yes,4.0,Petrol
SUV,Mahindra XUV700,"Leather Seats, GPS Navigation, Automatic Transmission, Electric Engine, Manual Transmission, Parking Sensors",3039,7,No,3.6,Hybrid
Electric,Mahindra eVerito,"Cruise Control, Electric Engine, Hybrid Engine, Lane Departure Warning",3689,7,Yes,4.7,Electric
Off-Road,Jeep Wrangler,"Bluetooth, Air Conditioning, Manual Transmission, Parking Sensors",5108,6,Yes,4.8,Diesel
Luxury,Audi A8,"Air Conditioning, Automatic Transmission, Heated Seats, Bluetooth, Blind Spot Monitor, Electric Engine",7793,5,Yes,3.3,Diesel
Off-Road,Ford Bronco,"Sunroof, Electric Engine, Backup Camera, Bluetooth, Hybrid Engine, Heated Seats",3367,7,Yes,4.4,Diesel
Hatchback,Hyundai i20,"Lane Departure Warning, GPS Navigation, Cruise Control, Electric Engine, Sunroof",2682,4,Yes,3.5,Hybrid
Vintage,Jaguar XK120,"Blind Spot Monitor, GPS Navigation, Manual Transmission, Lane Departure Warning",8020,7,No,4.9,Petrol
Luxury,Mercedes-Benz S-Class,"GPS Navigation, Lane Departure Warning, Sunroof",9689,6,Yes,4.8,Petrol
Hatchback,Tata Altroz,"Sunroof, Cruise Control, Parking Sensors, Heated Seats",1416,7,No,3.0,Diesel
Hatchback,Toyota Glanza,"Heated Seats, Electric Engine, Parking Sensors, Cruise Control, Air Conditioning",2388,5,No,4.3,Electric
Hatchback,Honda WR-V,"Parking Sensors, Sunroof, Hybrid Engine, All-Wheel Drive, Automatic Transmission, Lane Departure Warning",1191,5,Yes,3.1,Hybrid
Electric,Hyundai Kona Electric,"Manual Transmission, Sunroof, Automatic Transmission, Cruise Control, GPS Navigation, Blind Spot Monitor",2797,4,No,4.0,Electric
Electric,Hyundai Kona Electric,"Air Conditioning, Sunroof, Manual Transmission, All-Wheel Drive",2553,5,No,5.0,Electric
Electric,Mahindra eVerito,"Air Conditioning, Cruise Control, Automatic Transmission",2355,4,Yes,3.6,Electric
Luxury,Lexus LS,"All-Wheel Drive, Hybrid Engine, Lane Departure Warning, Manual Transmission, GPS Navigation",9687,5,Yes,5.0,Diesel
SUV,Mahindra XUV700,"Automatic Transmission, GPS Navigation, Parking Sensors",5197,5,Yes,3.3,Hybrid
Off-Road,Land Rover Defender,"Manual Transmission, Hybrid Engine, Leather Seats",4383,7,No,3.6,Hybrid
SUV,Mahindra XUV700,"Lane Departure Warning, Bluetooth, Hybrid Engine, Backup Camera",3179,6,Yes,4.7,Diesel
Hatchback,Maruti Suzuki Celerio,"Air Conditioning, Backup Camera, Parking Sensors",2509,6,No,3.8,Electric
Vintage,Chevrolet Bel Air,"Electric Engine, Leather Seats, Manual Transmission, Bluetooth",11518,4,Yes,4.2,Hybrid
Hatchback,Volkswagen Polo,"Cruise Control, Heated Seats, Air Conditioning, Automatic Transmission",1787,6,No,3.3,Diesel
Luxury,Mercedes-Benz S-Class,"Cruise Control, Lane Departure Warning, Backup Camera",10632,4,No,3.7,Hybrid
Hatchback,Volkswagen Polo,"Blind Spot Monitor, Heated Seats, Cruise Control, Leather Seats, Bluetooth, GPS Navigation",1807,7,Yes,3.3,Petrol
Hatchback,Maruti Suzuki Baleno,"Sunroof, Lane Departure Warning, Electric Engine, Parking Sensors",1876,5,No,3.6,Hybrid
Vintage,Plymouth Road Runner,"Electric Engine, Bluetooth, Backup Camera, Cruise Control, All-Wheel Drive, Manual Transmission",8192,5,Yes,4.0,Electric
Off-Road,Jeep Wrangler,"Parking Sensors, Sunroof, Leather Seats, Lane Departure Warning, Automatic Transmission, Blind Spot Monitor",5684,5,Yes,3.0,Electric
Hatchback,Nissan Magnite,"Sunroof, Heated Seats, Cruise Control, All-Wheel Drive, Leather Seats, Hybrid Engine",1891,4,No,3.3,Hybrid
Electric,MG ZS EV,"Leather Seats, Bluetooth, Sunroof",3748,4,No,4.0,Electric
Hatchback,Tata Altroz,"Cruise Control, Sunroof, Heated Seats, Electric Engine, Manual Transmission",2912,4,Yes,3.3,Electric
Electric,Mahindra eVerito,"Electric Engine, Leather Seats, Heated Seats, Bluetooth, Parking Sensors, Sunroof",2345,7,Yes,4.2,Electric
Hatchback,Renault Kwid,"Air Conditioning, Heated Seats, GPS Navigation",1848,6,Yes,4.0,Electric
Luxury,Audi A8,"Air Conditioning, Bluetooth, Leather Seats",7074,7,No,4.8,Petrol
Off-Road,Jeep Wrangler,"Manual Transmission, Automatic Transmission, Bluetooth",3769,5,No,3.5,Diesel
Off-Road,Suzuki Jimny,"GPS Navigation, Air Conditioning, Sunroof, Manual Transmission",4696,4,Yes,3.9,Hybrid
Hatchback,Tata Tiago,"Automatic Transmission, Electric Engine, Lane Departure Warning",1998,6,Yes,4.7,Diesel
Vintage,Rolls Royce Silver Ghost,"Lane Departure Warning, Hybrid Engine, All-Wheel Drive, Heated Seats",11529,5,No,4.2,Hybrid
Off-Road,Toyota Land Cruiser,"Heated Seats, Electric Engine, Bluetooth, Lane Departure Warning",4717,7,Yes,4.9,Hybrid
Vintage,Jaguar XK120,"Cruise Control, Electric Engine, Sunroof",11185,7,Yes,3.8,Diesel
Hatchback,Tata Altroz,"Leather Seats, Heated Seats, Lane Departure Warning",2321,6,Yes,4.3,Hybrid
Luxury,Lexus LS,"Backup Camera, Air Conditioning, Sunroof, Manual Transmission, Hybrid Engine",7034,5,Yes,3.5,Petrol
Luxury,BMW 7 Series,"Parking Sensors, All-Wheel Drive, GPS Navigation",6722,6,No,4.4,Electric
SUV,Mahindra XUV700,"GPS Navigation, Heated Seats, Hybrid Engine, Leather Seats, Cruise Control, Electric Engine",5206,4,Yes,3.7,Diesel
Luxury,Lexus LS,"Electric Engine, All-Wheel Drive, Heated Seats, Manual Transmission",10091,4,Yes,4.2,Hybrid
Vintage,Ford Model T,"Manual Transmission, Air Conditioning, Automatic Transmission, Parking Sensors, Bluetooth, GPS Navigation",13900,7,Yes,3.2,Petrol
Electric,MG ZS EV,"Blind Spot Monitor, All-Wheel Drive, Parking Sensors",3624,4,Yes,4.4,Electric
Hatchback,Honda Jazz,"Manual Transmission, Blind Spot Monitor, GPS Navigation, Heated Seats, Lane Departure Warning",2444,4,Yes,3.1,Electric
SUV,Ford Endeavour,"Parking Sensors, Sunroof, Blind Spot Monitor, Bluetooth",5822,7,No,4.3,Electric
Vintage,Plymouth Road Runner,"Cruise Control, Leather Seats, Parking Sensors, Sunroof",8415,6,No,4.3,Diesel
SUV,Mahindra XUV700,"Sunroof, Lane Departure Warning, Cruise Control, GPS Navigation, Backup Camera",4440,6,No,3.9,Electric
Vintage,Ford Model T,"Electric Engine, Manual Transmission, Blind Spot Monitor, Sunroof",13268,7,No,4.8,Electric
Luxury,Lexus LS,"Blind Spot Monitor, Automatic Transmission, Leather Seats, Heated Seats, All-Wheel Drive, GPS Navigation",10516,4,Yes,4.8,Diesel
Vintage,Plymouth Road Runner,"Hybrid Engine, Lane Departure Warning, Parking Sensors",12871,6,Yes,3.7,Electric
Off-Road,Ford Bronco,"Lane Departure Warning, Heated Seats, Parking Sensors, Sunroof, Bluetooth",5009,7,Yes,3.7,Electric
Electric,Mahindra eVerito,"Manual Transmission, Backup Camera, Automatic Transmission, Bluetooth",3239,4,Yes,3.7,Electric
Hatchback,Maruti Suzuki Baleno,"Leather Seats, Electric Engine, Sunroof, Backup Camera, Air Conditioning, Heated Seats",2786,4,No,3.6,Hybrid
Electric,MG ZS EV,"Manual Transmission, Hybrid Engine, Heated Seats, Backup Camera, Blind Spot Monitor, Leather Seats",2144,6,No,4.3,Electric
Off-Road,Jeep Wrangler,"Air Conditioning, Leather Seats, Parking Sensors, Bluetooth, Cruise Control",4941,4,Yes,4.7,Diesel
Electric,Tata Nexon EV,"GPS Navigation, Electric Engine, Parking Sensors",3064,7,Yes,4.6,Electric
SUV,Toyota Fortuner,"Hybrid Engine, Cruise Control, Air Conditioning, Manual Transmission",5601,5,No,3.8,Petrol
Off-Road,Jeep Wrangler,"Bluetooth, Automatic Transmission, Sunroof, Manual Transmission, Parking Sensors",3623,7,Yes,4.4,Hybrid
Luxury,Audi A8,"Blind Spot Monitor, Hybrid Engine, Electric Engine",7600,7,No,3.5,Diesel
Electric,Mahindra eVerito,"Manual Transmission, Bluetooth, All-Wheel Drive, Blind Spot Monitor",3269,6,Yes,4.8,Electric
Electric,MG ZS EV,"Parking Sensors, All-Wheel Drive, Air Conditioning, Bluetooth",2871,4,No,3.5,Electric
Electric,MG ZS EV,"Lane Departure Warning, Heated Seats, Parking Sensors",2238,5,No,4.3,Electric
Vintage,Ford Model T,"Sunroof, Blind Spot Monitor, Hybrid Engine, Electric Engine, Bluetooth",5786,5,Yes,4.6,Hybrid
SUV,Jeep Compass,"Electric Engine, Blind Spot Monitor, Leather Seats, Bluetooth, Sunroof, Backup Camera",3138,5,Yes,4.8,Diesel
Off-Road,Toyota Land Cruiser,"GPS Navigation, Backup Camera, Leather Seats, Heated Seats, Sunroof",4730,6,Yes,3.5,Hybrid
Electric,Mahindra eVerito,"All-Wheel Drive, Lane Departure Warning, Leather Seats",2897,7,Yes,4.6,Electric
Electric,Hyundai Kona Electric,"Blind Spot Monitor, Heated Seats, Lane Departure Warning, GPS Navigation",2233,6,No,3.9,Electric
Hatchback,Tata Altroz,"Air Conditioning, Manual Transmission, Leather Seats, All-Wheel Drive, Lane Departure Warning, Electric Engine",1416,6,No,4.1,Electric
Hatchback,Honda WR-V,"Manual Transmission, Backup Camera, Leather Seats, Parking Sensors",2670,4,Yes,3.6,Electric
Vintage,Rolls Royce Silver Ghost,"Lane Departure Warning, GPS Navigation, All-Wheel Drive, Blind Spot Monitor, Cruise Control, Leather Seats",8323,7,No,4.8,Diesel
SUV,Ford Endeavour,"Electric Engine, Hybrid Engine, Backup Camera, Leather Seats, All-Wheel Drive",3565,5,Yes,4.4,Diesel
Off-Road,Land Rover Defender,"Bluetooth, GPS Navigation, Leather Seats, Cruise Control",5332,7,Yes,3.7,Electric
Luxury,Lexus LS,"All-Wheel Drive, Backup Camera, Manual Transmission, Lane Departure Warning",6430,5,Yes,4.0,Diesel
SUV,Ford Endeavour,"Electric Engine, Heated Seats, All-Wheel Drive, Cruise Control",5965,4,No,3.8,Diesel
Luxury,Jaguar XJ,"Leather Seats, Cruise Control, Manual Transmission, Heated Seats",6613,7,Yes,4.7,Electric
Luxury,Lexus LS,"Sunroof, Backup Camera, Cruise Control, All-Wheel Drive, Air Conditioning, Lane Departure Warning",7925,6,No,3.7,Petrol
Hatchback,Toyota Glanza,"Bluetooth, Air Conditioning, Electric Engine, Sunroof, Manual Transmission, Backup Camera",1744,6,Yes,4.0,Diesel
Hatchback,Honda WR-V,"Bluetooth, Heated Seats, Cruise Control, Lane Departure Warning, Backup Camera",2223,6,No,3.3,Diesel
Luxury,BMW 7 Series,"Lane Departure Warning, Cruise Control, GPS Navigation, Backup Camera, Blind Spot Monitor, Bluetooth",9106,5,Yes,3.5,Diesel
Electric,Hyundai Kona Electric,"GPS Navigation, Electric Engine, Cruise Control, Leather Seats",3827,4,Yes,3.0,Electric
Electric,Tata Nexon EV,"Backup Camera, Sunroof, All-Wheel Drive, Air Conditioning",3984,5,Yes,4.1,Electric
Luxury,Jaguar XJ,"Hybrid Engine, Sunroof, Air Conditioning",9586,4,Yes,3.2,Electric
Electric,Tesla Model 3,"Sunroof, Blind Spot Monitor, Electric Engine",2747,7,No,3.4,Electric
Electric,MG ZS EV,"Bluetooth, Manual Transmission, Parking Sensors, Sunroof, Backup Camera",3780,4,Yes,4.9,Electric
SUV,Mahindra XUV700,"Cruise Control, Blind Spot Monitor, Electric Engine, Backup Camera",5157,4,Yes,4.4,Hybrid
SUV,Jeep Compass,"Parking Sensors, All-Wheel Drive, Heated Seats, Bluetooth",3445,7,Yes,4.5,Petrol
Luxury,Lexus LS,"All-Wheel Drive, Cruise Control, Heated Seats, Air Conditioning, Bluetooth",11443,7,No,4.0,Electric
Hatchback,Hyundai i20,"Leather Seats, Lane Departure Warning, GPS Navigation",2412,5,No,4.9,Diesel
Luxury,Jaguar XJ,"Backup Camera, Blind Spot Monitor, Cruise Control, Automatic Transmission, Heated Seats",7698,6,No,4.5,Petrol
Electric,Hyundai Kona Electric,"Bluetooth, Electric Engine, Sunroof, Automatic Transmission, Air Conditioning, Cruise Control",2032,6,No,4.6,Electric
SUV,Toyota Fortuner,"Heated Seats, Manual Transmission, Leather Seats, Blind Spot Monitor",3065,7,Yes,3.8,Hybrid
Hatchback,Maruti Suzuki Swift,"Blind Spot Monitor, All-Wheel Drive, Sunroof, Bluetooth, Hybrid Engine, Automatic Transmission",1705,7,Yes,3.1,Electric
Vintage,Jaguar XK120,"Bluetooth, Blind Spot Monitor, Hybrid Engine, Heated Seats",7435,4,No,3.4,Hybrid
SUV,Tata Safari,"Manual Transmission, Leather Seats, GPS Navigation, Bluetooth",4330,4,Yes,4.8,Hybrid
Luxury,Audi A8,"Backup Camera, Manual Transmission, Cruise Control, GPS Navigation",7356,7,No,4.5,Hybrid
Vintage,Plymouth Road Runner,"Lane Departure Warning, Backup Camera, All-Wheel Drive, Hybrid Engine",12178,6,No,3.1,Hybrid
Vintage,Ford Model T,"Air Conditioning, Heated Seats, Bluetooth, Cruise Control, Backup Camera, Manual Transmission",8294,7,Yes,3.4,Diesel
Off-Road,Land Rover Defender,"Heated Seats, Backup Camera, Hybrid Engine",4922,5,No,3.8,Electric
Electric,Tata Nexon EV,"Hybrid Engine, Blind Spot Monitor, GPS Navigation, Electric Engine, Lane Departure Warning, Heated Seats",3896,5,Yes,4.5,Electric
Electric,MG ZS EV,"Parking Sensors, Lane Departure Warning, Sunroof, Bluetooth, Leather Seats, Backup Camera",2122,4,Yes,4.7,Electric
Vintage,Chevrolet Bel Air,"Automatic Transmission, GPS Navigation, Hybrid Engine, Manual Transmission",12628,5,No,4.4,Diesel
Off-Road,Toyota Land Cruiser,"Cruise Control, Sunroof, Backup Camera",4409,5,No,3.4,Diesel
Hatchback,Renault Kwid,"Lane Departure Warning, Heated Seats, Cruise Control",1721,4,No,4.6,Petrol
Electric,Mahindra eVerito,"Automatic Transmission, Sunroof, Backup Camera",2381,6,No,4.8,Electric
Luxury,Jaguar XJ,"GPS Navigation, Electric Engine, Manual Transmission, Air Conditioning",9045,6,Yes,4.0,Petrol
Electric,Tesla Model 3,"Sunroof, Bluetooth, Hybrid Engine, Leather Seats, Electric Engine",2624,6,No,4.1,Electric
Electric,Tata Nexon EV,"Lane Departure Warning, Backup Camera, Heated Seats, Electric Engine",2572,6,Yes,4.3,Electric
Vintage,Plymouth Road Runner,"Sunroof, Lane Departure Warning, Heated Seats",14817,4,No,4.8,Hybrid
Vintage,Plymouth Road Runner,"Cruise Control, Heated Seats, GPS Navigation",8360,5,No,4.2,Diesel
Luxury,Jaguar XJ,"Bluetooth, Leather Seats, Manual Transmission, Heated Seats",9721,5,No,3.5,Electric
Off-Road,Jeep Wrangler,"Cruise Control, Sunroof, Parking Sensors, Automatic Transmission",3711,7,No,4.6,Electric
SUV,Tata Safari,"GPS Navigation, Manual Transmission, Cruise Control, Sunroof",5793,7,Yes,4.2,Hybrid
Hatchback,Tata Tiago,"Electric Engine, Sunroof, All-Wheel Drive",1522,6,Yes,3.5,Hybrid
Luxury,Audi A8,"Air Conditioning, Lane Departure Warning, Automatic Transmission, Electric Engine, Cruise Control",6299,7,Yes,4.9,Diesel
Hatchback,Tata Tiago,"Bluetooth, Manual Transmission, Cruise Control, Lane Departure Warning",2695,7,Yes,4.2,Diesel
SUV,Tata Safari,"GPS Navigation, Bluetooth, Lane Departure Warning, Automatic Transmission",4269,5,Yes,3.4,Diesel
Off-Road,Toyota Land Cruiser,"Cruise Control, Manual Transmission, Electric Engine, Air Conditioning",3411,7,Yes,3.5,Electric
SUV,Toyota Fortuner,"Manual Transmission, Parking Sensors, All-Wheel Drive",5738,4,No,3.0,Electric
Off-Road,Toyota Land Cruiser,"Heated Seats, Sunroof, Leather Seats",5202,7,No,4.6,Diesel
SUV,Tata Safari,"Parking Sensors, Hybrid Engine, Blind Spot Monitor",5689,7,Yes,3.1,Diesel
Off-Road,Suzuki Jimny,"Air Conditioning, GPS Navigation, Heated Seats, Electric Engine",4321,6,Yes,3.7,Diesel
Luxury,Mercedes-Benz S-Class,"Sunroof, Manual Transmission, Blind Spot Monitor, Bluetooth, Automatic Transmission",5648,5,Yes,3.7,Diesel
SUV,Ford Endeavour,"Sunroof, Blind Spot Monitor, Bluetooth, Parking Sensors, Electric Engine, Air Conditioning",3309,7,Yes,4.3,Electric
Off-Road,Toyota Land Cruiser,"Backup Camera, Air Conditioning, Sunroof, Lane Departure Warning, Hybrid Engine",5936,7,No,4.5,Diesel
Off-Road,Ford Bronco,"Air Conditioning, Leather Seats, Backup Camera, Lane Departure Warning, Hybrid Engine",3101,4,No,3.8,Hybrid
SUV,Tata Safari,"All-Wheel Drive, Cruise Control, Bluetooth, Air Conditioning",5131,6,No,3.7,Electric
Electric,Hyundai Kona Electric,"Heated Seats, Electric Engine, Lane Departure Warning, Air Conditioning, Backup Camera",2721,7,No,4.4,Electric
SUV,Mahindra XUV700,"Blind Spot Monitor, Manual Transmission, GPS Navigation, Cruise Control, Lane Departure Warning",3583,7,No,3.7,Electric
Off-Road,Toyota Land Cruiser,"Backup Camera, GPS Navigation, Blind Spot Monitor, Heated Seats, Bluetooth, All-Wheel Drive",4663,5,Yes,3.7,Diesel
SUV,Mahindra XUV700,"Leather Seats, Hybrid Engine, Bluetooth",4322,5,Yes,3.2,Petrol
SUV,Toyota Fortuner,"Heated Seats, Air Conditioning, GPS Navigation, All-Wheel Drive",4050,6,No,4.9,Diesel
Luxury,Mercedes-Benz S-Class,"Blind Spot Monitor, Air Conditioning, All-Wheel Drive, Manual Transmission, Cruise Control",11702,4,No,3.8,Diesel
Hatchback,Maruti Suzuki Swift,"Sunroof, Backup Camera, Bluetooth, Blind Spot Monitor, All-Wheel Drive, Air Conditioning",1211,4,Yes,4.3,Electric
Luxury,Jaguar XJ,"Cruise Control, Air Conditioning, Leather Seats, Parking Sensors, Sunroof, All-Wheel Drive",10756,7,Yes,3.0,Electric
Vintage,Ford Model T,"Heated Seats, Automatic Transmission, Air Conditioning, Manual Transmission, Sunroof",9111,6,No,4.2,Diesel
Hatchback,Ford Figo,"Air Conditioning, Cruise Control, Hybrid Engine, GPS Navigation, Leather Seats, Lane Departure Warning",1210,4,No,4.0,Petrol
Electric,MG ZS EV,"Parking Sensors, Leather Seats, Automatic Transmission, Manual Transmission",2974,6,No,4.3,Electric
Vintage,Ford Model T,"Heated Seats, All-Wheel Drive, Air Conditioning",10567,7,No,4.3,Electric
Off-Road,Jeep Wrangler,"Lane Departure Warning, Air Conditioning, Heated Seats, Sunroof, Manual Transmission",3506,7,Yes,5.0,Petrol
Vintage,Ford Model T,"Leather Seats, Automatic Transmission, Backup Camera, Lane Departure Warning, Manual Transmission, Blind Spot Monitor",10467,5,Yes,4.7,Electric
Vintage,Plymouth Road Runner,"Backup Camera, Heated Seats, Cruise Control",14356,4,Yes,3.2,Hybrid
SUV,Toyota Fortuner,"Blind Spot Monitor, Manual Transmission, Air Conditioning, Hybrid Engine, Backup Camera, Automatic Transmission",5854,4,Yes,4.2,Petrol
Hatchback,Volkswagen Polo,"Parking Sensors, Automatic Transmission, Heated Seats",2912,6,Yes,4.7,Electric
Electric,Tesla Model 3,"Backup Camera, Cruise Control, Lane Departure Warning, Hybrid Engine, GPS Navigation, All-Wheel Drive",2377,7,No,3.2,Electric
Hatchback,Honda WR-V,"Blind Spot Monitor, Air Conditioning, GPS Navigation, Cruise Control, Backup Camera",2304,4,Yes,4.7,Petrol
Electric,Tata Nexon EV,"GPS Navigation, Blind Spot Monitor, Automatic Transmission",3911,6,No,4.1,Electric
SUV,Ford Endeavour,"Automatic Transmission, Parking Sensors, Lane Departure Warning",4192,5,Yes,3.8,Electric
Hatchback,Hyundai Grand i10 Nios,"Air Conditioning, Backup Camera, Hybrid Engine",1932,6,No,3.3,Diesel
Vintage,Rolls Royce Silver Ghost,"Cruise Control, Automatic Transmission, Parking Sensors, Manual Transmission, Bluetooth",5998,4,Yes,4.2,Electric
Hatchback,Toyota Glanza,"GPS Navigation, Manual Transmission, Parking Sensors",2791,6,Yes,4.1,Hybrid
Electric,Hyundai Kona Electric,"Hybrid Engine, Sunroof, Manual Transmission, Electric Engine, GPS Navigation",3960,7,Yes,4.6,Electric
Luxury,Audi A8,"Parking Sensors, Backup Camera, Blind Spot Monitor",6982,6,No,4.6,Electric
Luxury,Mercedes-Benz S-Class,"Leather Seats, All-Wheel Drive, Lane Departure Warning, Automatic Transmission",8368,5,Yes,4.1,Petrol
Electric,Mahindra eVerito,"Air Conditioning, Electric Engine, All-Wheel Drive, Bluetooth",3379,4,No,4.5,Electric
Vintage,Ford Model T,"All-Wheel Drive, GPS Navigation, Sunroof, Automatic Transmission",5669,7,Yes,4.8,Hybrid
Off-Road,Land Rover Defender,"Leather Seats, Sunroof, Hybrid Engine",3906,7,No,3.6,Petrol
Hatchback,Tata Altroz,"Backup Camera, Bluetooth, All-Wheel Drive, Heated Seats, Leather Seats, Automatic Transmission",2433,6,Yes,3.3,Petrol
SUV,Tata Safari,"Sunroof, Backup Camera, Parking Sensors, Heated Seats, All-Wheel Drive, Electric Engine",4520,6,Yes,4.8,Petrol
Vintage,Jaguar XK120,"Electric Engine, Heated Seats, Sunroof",7630,6,Yes,4.0,Petrol
Luxury,Mercedes-Benz S-Class,"Backup Camera, Parking Sensors, Automatic Transmission, All-Wheel Drive",11941,7,Yes,3.2,Diesel
Vintage,Rolls Royce Silver Ghost,"Sunroof, All-Wheel Drive, Leather Seats, Automatic Transmission, Lane Departure Warning, Air Conditioning",10587,7,Yes,4.2,Diesel
Hatchback,Tata Altroz,"Sunroof, Hybrid Engine, GPS Navigation, Backup Camera",1043,5,No,4.9,Hybrid
Vintage,Ford Model T,"Electric Engine, Sunroof, Lane Departure Warning, Hybrid Engine, Air Conditioning",10411,5,No,3.6,Hybrid
Luxury,Jaguar XJ,"Sunroof, Backup Camera, Hybrid Engine, Manual Transmission, Cruise Control, Bluetooth",5884,5,No,3.6,Electric
Off-Road,Suzuki Jimny,"Heated Seats, Manual Transmission, Leather Seats",3618,5,Yes,5.0,Petrol
Hatchback,Renault Kwid,"Sunroof, Heated Seats, Bluetooth, Cruise Control, Parking Sensors, Manual Transmission",2028,4,No,3.8,Hybrid
SUV,Tata Safari,"GPS Navigation, Blind Spot Monitor, Leather Seats, Automatic Transmission",5253,7,No,4.3,Petrol
Vintage,Rolls Royce Silver Ghost,"Automatic Transmission, Hybrid Engine, Air Conditioning, Cruise Control, All-Wheel Drive",5986,5,Yes,3.7,Electric
Off-Road,Ford Bronco,"Cruise Control, Electric Engine, Lane Departure Warning",4604,4,No,3.4,Diesel
Off-Road,Suzuki Jimny,"Cruise Control, Leather Seats, Parking Sensors, Blind Spot Monitor",4537,7,Yes,4.8,Hybrid
Hatchback,Hyundai i20,"Parking Sensors, Blind Spot Monitor, Air Conditioning, Automatic Transmission, Hybrid Engine, GPS Navigation",2314,5,No,4.2,Petrol
Off-Road,Jeep Wrangler,"Hybrid Engine, GPS Navigation, Automatic Transmission, Leather Seats, Backup Camera",5626,5,No,4.5,Diesel
SUV,Toyota Fortuner,"Leather Seats, Cruise Control, Hybrid Engine",4275,7,No,3.8,Hybrid
Vintage,Jaguar XK120,"Backup Camera, Leather Seats, All-Wheel Drive, Sunroof, Lane Departure Warning",8148,7,Yes,3.4,Hybrid
Off-Road,Suzuki Jimny,"All-Wheel Drive, Electric Engine, GPS Navigation, Automatic Transmission, Lane Departure Warning, Air Conditioning",5820,6,Yes,4.6,Hybrid
Hatchback,Maruti Suzuki Baleno,"Automatic Transmission, Cruise Control, Leather Seats, Backup Camera, GPS Navigation",1090,6,Yes,3.2,Hybrid
Hatchback,Honda WR-V,"GPS Navigation, Air Conditioning, Leather Seats, Hybrid Engine, Blind Spot Monitor, Bluetooth",2765,4,No,4.7,Petrol
Luxury,Lexus LS,"Sunroof, GPS Navigation, Blind Spot Monitor",6672,4,Yes,3.8,Hybrid
Luxury,Jaguar XJ,"Cruise Control, Automatic Transmission, Leather Seats, Backup Camera",11797,4,No,4.5,Petrol
Luxury,Audi A8,"Blind Spot Monitor, GPS Navigation, Air Conditioning",5665,4,Yes,3.0,Petrol
Luxury,Jaguar XJ,"Air Conditioning, Bluetooth, Electric Engine",10670,7,No,4.2,Hybrid
Electric,Mahindra eVerito,"Electric Engine, Cruise Control, Blind Spot Monitor, Air Conditioning, Leather Seats",2039,4,No,4.4,Electric
Off-Road,Land Rover Defender,"GPS Navigation, Leather Seats, Hybrid Engine, Heated Seats",3575,6,Yes,3.6,Diesel
Hatchback,Honda Jazz,"Lane Departure Warning, Automatic Transmission, Leather Seats, Blind Spot Monitor, All-Wheel Drive, Air Conditioning",1191,4,Yes,4.0,Diesel
Off-Road,Toyota Land Cruiser,"Blind Spot Monitor, Parking Sensors, Bluetooth, Air Conditioning",4242,4,No,3.1,Hybrid
SUV,Mahindra XUV700,"Parking Sensors, Air Conditioning, Heated Seats, Backup Camera",3182,4,No,3.6,Petrol
Electric,Hyundai Kona Electric,"Backup Camera, Heated Seats, GPS Navigation, Sunroof, Manual Transmission",3005,5,Yes,3.0,Electric
